,id,sugar to flour ratio,sugar index,bake temp,chill time,calories,density,pH,grams baking soda,bake time,quality,butter type,weight,diameter,mixins,crunch factor,aesthetic appeal
878,879,0.49,1.5,310,17.0,122.0,0.9932,8.03,0.4,10.3,8,melted,17.0,7,"chocolate, oats",1.47,3
879,880,0.4,2.0,500,24.0,92.0,0.9932,8.14,0.45,10.5,7,melted,14.6,7,"chocolate, oats",1.44,3
880,881,0.26,8.2,540,47.0,182.0,0.99538,8.12,0.5,9.5,7,melted,12.8,7,chocolate,1.84,3
881,882,0.34,1.1,370,41.0,115.0,0.9899,8.01,0.68,12.0,8,melted,13.2,7,"chocolate, oats",1.31,3
882,883,0.28,6.7,320,26.0,91.0,0.99172,8.13,0.32,12.3,8,melted,13.2,7,chocolate,1.0,3
883,884,0.27,1.7,140,45.0,104.0,0.98914,8.4,0.56,12.6,9,melted,11.6,7,raisins,1.18,3
884,885,0.65,1.2,790,17.0,137.0,0.99307,8.2,0.42,9.4,7,melted,11.4,7,chocolate,1.74,3
885,886,0.24,1.7,390,138.5,272.0,0.99452,8.53,0.53,9.6,6,melted,12.4,7,chocolate,1.95,3
886,887,0.4,6.5,390,43.0,167.0,0.9953,8.15,0.44,9.3,8,melted,12.6,7,chocolate,1.84,3
887,888,0.48,1.8,1570,5.0,17.0,0.9976,8.3,1.05,9.4,5,cubed,16.2,7,raisins,1.56,3
888,889,0.32,2.5,800,26.0,122.0,0.99801,8.22,1.07,9.7,5,cubed,16.0,7,"nuts, chocolate",1.11,3
889,890,0.3,13.0,2900,22.0,193.0,0.9984,8.08,0.67,9.0,6,melted,13.6,7,"nuts, oats, chocolate",1.92,3
890,891,0.31,2.5,960,16.0,49.0,0.9982,8.19,0.7,10.0,7,cubed,19.2,7,raisins,1.67,3
891,892,0.26,1.5,300,25.0,101.0,0.98894,8.03,0.41,12.1,8,melted,12.2,7,chocolate,1.63,3
892,893,0.27,1.4,440,53.0,168.0,0.9918,8.28,0.37,10.1,8,melted,11.2,7,"chocolate, oats",1.25,3
893,894,0.34,19.8,400,12.0,67.0,0.9976,8.07,0.38,11.0,8,melted,14.0,7,"nuts, chocolate",1.74,3
894,895,0.29,1.3,420,26.0,138.0,0.9956,8.77,0.64,9.5,7,melted,12.4,7,raisins,1.27,3
895,896,0.08,1.8,710,14.0,45.0,0.99336,8.38,0.54,11.0,5,cubed,12.2,7,"nuts, oats, chocolate",1.04,3
896,897,0.0,2.2,950,48.0,59.0,0.99541,8.61,0.7,11.5,6,cubed,13.0,7,"nuts, oats, chocolate",1.41,3
897,898,0.3,6.4,480,40.0,251.0,0.9956,8.29,0.52,10.0,7,melted,13.4,7,"chocolate, oats",1.7,3
898,899,0.24,2.6,870,12.0,93.0,0.9998,8.48,0.54,9.8,5,cubed,18.4,7,"raisins, oats",1.1,3
899,900,0.37,0.9,250,11.0,49.0,0.98845,8.29,0.33,13.1,8,melted,11.2,7,chocolate,1.52,3
900,901,0.4,1.8,280,23.0,122.0,0.9914,8.14,0.39,10.9,9,melted,15.6,7,raisins,1.49,3
901,902,0.54,7.9,360,23.0,169.0,0.99267,8.26,0.47,12.2,8,melted,13.8,7,"nuts,raisins",1.23,3
902,903,0.49,7.3,460,53.0,206.0,0.9956,8.24,0.43,9.2,8,melted,12.8,7,chocolate,1.14,3
903,904,0.25,8.0,360,21.0,124.0,0.99362,8.06,0.38,10.8,8,melted,13.2,7,raisins,1.76,3
904,905,0.24,4.6,980,36.0,127.0,0.99412,8.15,0.49,9.6,8,melted,13.6,7,chocolate,1.36,3
905,906,0.26,2.1,830,17.0,-99.0,0.99616,8.29,0.56,9.8,6,cubed,14.8,7,"nuts, oats, chocolate",1.65,3
906,907,0.3,2.0,530,48.0,140.0,0.994,8.18,0.49,9.6,8,melted,16.0,7,"chocolate, oats",1.01,3
907,908,0.14,2.8,760,15.0,37.0,0.99624,8.36,0.49,10.7,5,cubed,14.2,7,"nuts, chocolate",1.71,3
908,909,0.24,1.6,390,29.0,140.0,0.99304,8.35,0.61,10.4,9,melted,13.2,7,chocolate,1.1,3
909,910,0.35,15.8,420,55.0,158.0,0.99642,8.24,0.37,10.6,7,melted,12.2,7,"chocolate, oats",1.53,3
910,911,0.19,2.2,930,11.0,75.0,0.99736,8.2,0.59,9.2,4,cubed,16.8,7,"nuts, oats, chocolate",1.77,3
911,912,0.36,1.6,400,32.0,155.0,0.993,8.23,0.52,11.3,8,melted,15.2,7,raisins,1.9,3
912,913,0.05,1.8,750,5.0,19.0,0.99616,8.3,0.44,9.6,4,cubed,17.6,7,"raisins, oats",1.02,3
913,914,0.62,2.6,820,6.0,21.0,1.0002,8.16,0.67,9.7,6,cubed,26.8,7,chocolate,1.94,3
914,915,0.38,0.9,510,7.0,140.0,0.9926,8.45,0.5,10.5,9,melted,12.6,7,chocolate,1.56,3
915,916,0.24,2.4,910,8.0,38.0,0.998,8.47,0.66,9.6,6,cubed,15.2,7,"nuts,raisins",1.25,3
916,917,0.34,4.7,400,43.0,161.0,0.9935,8.2,0.59,10.6,8,melted,13.8,7,chocolate,1.52,3
917,918,0.47,1.1,370,23.0,126.0,0.9938,8.21,0.42,10.9,7,melted,16.2,7,"nuts,raisins",1.09,3
918,919,0.34,10.1,500,30.0,121.0,0.99724,8.17,0.49,10.1,8,melted,16.2,7,chocolate,1.98,3
919,920,0.26,1.2,410,29.0,182.0,0.99104,8.04,0.35,11.2,7,melted,13.6,7,chocolate,1.93,3
920,921,0.5,2.1,430,27.0,122.0,0.9923,8.15,0.45,10.3,8,melted,13.4,7,"chocolate, oats",1.01,3
921,922,0.36,13.1,560,72.0,163.0,1.0,8.42,0.35,9.1,8,melted,14.8,7,"chocolate, oats",1.03,3
922,923,0.23,5.0,530,29.0,106.0,0.99458,8.13,0.52,9.0,7,melted,11.6,7,raisins,1.82,3
923,924,0.33,1.3,330,25.0,97.0,0.9906,8.59,0.38,11.0,10,melted,10.6,7,chocolate,1.26,3
924,925,0.4,1.85,310,25.0,111.0,0.98966,8.03,0.3,11.8,9,melted,12.2,7,chocolate,1.64,3
925,926,0.47,1.4,1450,26.0,124.0,0.99274,8.09,0.56,10.1,8,melted,13.2,7,raisins,1.03,3
926,927,0.16,1.5,490,10.0,97.0,0.9917,8.48,0.44,10.7,8,melted,10.0,7,raisins,1.41,3
927,928,0.27,8.5,360,20.0,112.0,0.9939,7.96,0.46,11.7,8,melted,15.8,7,raisins,1.74,3
928,929,0.15,1.2,530,35.0,124.0,0.99347,8.08,0.46,8.8,7,melted,12.0,7,chocolate,1.54,3
929,930,0.37,7.9,250,38.0,107.0,0.99306,7.93,0.37,11.9,8,melted,16.6,7,"chocolate, oats",1.98,3
930,931,0.34,1.6,620,5.0,12.0,0.99667,8.2,0.67,10.5,6,cubed,18.4,7,raisins,1.61,3
931,932,0.2,16.0,440,41.0,113.0,0.99862,8.22,0.46,8.9,8,melted,11.4,7,chocolate,1.26,3
932,933,0.49,3.8,470,37.0,136.0,0.9938,7.95,0.4,9.4,8,melted,14.0,7,chocolate,1.03,3
933,934,0.36,1.0,350,8.0,70.0,0.9899,8.09,0.46,12.1,8,melted,14.0,7,chocolate,1.69,3
934,935,0.4,2.8,1090,7.0,16.0,0.99614,8.31,0.79,11.8,7,cubed,17.6,7,raisins,1.8,3
935,936,0.26,1.3,410,20.0,71.0,0.9926,8.04,0.74,9.9,8,melted,14.2,7,"chocolate, oats",1.11,3
936,937,0.2,2.6,270,17.0,123.0,0.98936,8.36,0.78,13.9,9,melted,11.6,7,raisins,1.27,3
937,938,0.0,1.4,700,6.0,14.0,0.99593,8.25,0.64,10.0,6,cubed,16.6,7,"nuts,raisins",1.86,3
938,939,0.34,10.2,480,50.0,118.0,0.99716,8.18,0.51,10.3,7,melted,16.6,7,chocolate,1.13,3
939,940,0.31,0.9,480,23.0,170.0,0.993,8.22,0.77,9.5,8,melted,12.2,7,"nuts, chocolate",1.31,3
940,941,0.3,7.2,410,42.0,168.0,0.99331,8.22,0.49,11.1,8,melted,12.8,7,raisins,1.53,3
941,942,0.27,2.6,540,30.0,156.0,0.9914,8.53,0.42,12.4,7,melted,11.6,7,chocolate,1.52,3
942,943,0.24,9.8,580,64.0,188.0,0.9952,8.13,0.51,10.6,8,melted,13.6,7,"chocolate, oats",1.48,3
943,944,0.53,1.4,1420,5.0,69.0,0.9926,8.14,0.52,10.1,6,melted,13.0,7,raisins,1.84,3
944,945,0.27,2.1,300,26.0,139.0,0.99,8.16,0.61,12.6,9,melted,13.6,7,chocolate,1.65,3
945,946,0.34,8.9,430,31.0,172.0,0.9964,8.22,0.6,9.2,7,melted,13.4,7,"nuts, chocolate",1.3,3
946,947,0.71,17.5,420,21.0,114.0,0.99784,7.85,0.5,9.5,8,melted,13.6,7,"chocolate, oats",1.35,3
947,948,0.42,1.1,620,35.0,100.0,0.99318,8.04,0.4,9.2,7,melted,14.0,7,chocolate,1.54,3
948,949,0.31,3.6,460,19.0,143.0,0.99022,8.15,0.34,12.0,10,melted,13.0,7,"nuts, chocolate",1.51,3
949,950,0.42,1.9,520,10.0,87.0,0.9922,8.3,0.49,11.8,8,melted,15.4,7,chocolate,1.55,3
950,951,0.26,1.3,380,32.0,138.0,0.99125,8.46,0.43,11.1,8,melted,12.0,7,chocolate,1.37,3
951,952,0.4,1.6,630,21.0,67.0,0.9952,8.5,0.63,11.1,5,cubed,14.0,7,chocolate,1.63,3
952,953,0.12,4.7,600,33.0,196.0,0.99556,8.22,0.48,8.9,7,melted,12.8,7,"nuts, oats, chocolate",1.7,3
953,954,0.24,1.3,530,66.0,150.0,0.9924,8.21,0.62,10.4,8,melted,12.0,7,chocolate,1.46,3
954,955,0.36,2.4,340,19.0,77.0,0.99184,8.25,0.48,10.9,7,melted,11.8,7,"nuts, chocolate",1.23,3
955,956,0.1,1.6,480,12.0,26.0,0.99306,8.55,0.51,12.1,5,cubed,12.6,7,"nuts, oats, chocolate",1.8,3
956,957,0.26,1.9,890,23.0,147.0,0.99636,8.26,0.59,9.7,5,cubed,15.4,7,"nuts,raisins",1.61,3
957,958,0.74,5.15,1000,5.0,17.0,0.9996,8.22,0.62,11.2,5,cubed,22.4,7,"nuts,raisins",1.27,3
958,959,0.35,1.1,450,14.0,167.0,0.992,8.34,0.68,9.9,8,melted,11.0,7,raisins,1.41,3
959,960,0.22,1.4,440,43.0,176.0,0.99286,8.14,0.46,9.9,7,melted,14.6,7,raisins,1.43,3
960,961,0.02,2.1,660,8.0,25.0,0.9972,8.47,0.67,9.5,6,cubed,14.0,7,"nuts, oats, chocolate",1.91,3
961,962,0.26,12.3,530,34.0,134.0,0.9972,8.34,0.45,9.5,8,melted,11.8,7,chocolate,1.1,3
962,963,0.54,2.7,1050,5.0,19.0,0.9988,8.25,0.63,9.5,5,cubed,20.8,7,chocolate,1.24,3
963,964,0.36,2.2,370,18.0,111.0,0.9919,8.41,0.82,11.9,10,melted,13.8,7,"chocolate, oats",1.39,3
964,965,0.49,19.3,570,55.0,247.0,1.00055,8.0,0.56,8.7,7,melted,13.6,7,chocolate,1.94,3
965,966,0.34,2.0,400,38.0,111.0,0.99,8.24,0.45,12.9,8,melted,13.6,7,"chocolate, oats",1.5,3
966,967,0.36,2.0,540,30.0,121.0,0.992,8.09,0.72,11.6,9,melted,16.0,7,chocolate,1.89,3
967,968,0.33,6.7,370,32.0,155.0,0.9951,8.39,0.62,10.7,9,melted,15.4,7,chocolate,1.7,3
968,969,0.1,2.4,800,16.0,33.0,0.99736,8.58,0.69,10.8,7,cubed,14.8,7,"nuts, oats, chocolate",1.44,3
969,970,0.32,5.6,870,10.0,47.0,0.9991,8.38,0.77,10.5,7,cubed,17.8,7,"nuts, chocolate",1.22,3
970,971,0.59,1.7,460,10.0,70.0,0.99373,8.06,0.56,10.8,6,melted,17.4,7,raisins,1.68,3
971,972,0.29,1.4,370,33.0,128.0,0.9896,8.12,0.36,12.2,9,melted,14.0,7,raisins,1.8,3
972,973,0.11,2.4,430,6.0,12.0,0.99354,8.3,0.65,11.4,6,cubed,13.8,7,"nuts, chocolate",1.21,3
973,974,0.41,3.7,420,37.0,149.0,0.9954,8.36,0.45,10.0,8,melted,15.6,7,chocolate,1.7,3
974,975,0.4,1.4,910,6.0,28.0,0.99704,8.07,0.65,10.0333,6,cubed,23.2,7,"nuts, chocolate",1.69,3
975,976,0.42,3.5,350,43.0,105.0,0.99021,8.18,0.38,12.2,8,melted,13.4,7,chocolate,1.52,3
976,977,0.69,2.1,900,6.0,21.0,1.0,8.17,0.62,9.2,6,cubed,22.8,7,raisins,1.58,3
977,978,0.35,5.1,260,17.0,113.0,0.99052,8.18,0.67,12.4,8,melted,11.4,7,"nuts, chocolate",1.12,3
978,979,0.44,4.2,470,51.0,144.0,0.991,8.01,0.76,12.3,8,melted,14.4,7,raisins,1.15,3
979,980,0.29,1.0,310,40.0,123.0,0.98958,8.12,0.4,12.1,9,melted,14.4,7,"chocolate, oats",1.43,3
980,981,0.05,3.6,1070,6.0,20.0,0.9972,8.4,0.63,10.1,5,cubed,14.6,7,"nuts, oats, chocolate",1.43,3
981,982,0.41,4.9,580,31.0,153.0,0.9966,8.27,0.51,9.7,8,melted,15.8,7,chocolate,1.69,3
982,983,0.27,10.4,410,26.0,114.0,0.99335,8.04,0.52,11.5,9,melted,14.2,7,chocolate,1.98,3
983,984,0.37,6.2,500,21.0,138.0,0.99546,8.2,0.55,10.5,8,melted,15.0,7,"chocolate, oats",1.18,3
984,985,0.34,5.1,620,8.0,22.0,0.9974,8.22,0.94,10.9,6,cubed,16.4,7,chocolate,1.87,3
985,986,0.33,4.35,400,15.0,80.0,0.98934,8.29,0.5,12.7,8,melted,12.0,7,chocolate,1.35,3
986,987,0.72,1.6,1670,65.0,120.0,0.99324,7.97,0.51,9.2,7,melted,14.2,7,chocolate,1.26,3
987,988,0.38,1.4,380,35.0,111.0,0.9918,8.32,0.59,11.2,9,melted,13.6,7,"chocolate, oats",1.65,3
988,989,0.3,8.25,200,14.0,104.0,0.99362,7.99,0.44,11.4,8,melted,14.4,7,raisins,1.29,3
989,990,0.3,7.75,310,33.0,139.0,0.99296,8.22,0.46,11.0,8,melted,12.2,7,chocolate,1.99,3
990,991,0.28,2.5,320,24.0,84.0,0.99168,8.31,0.55,11.5,7,melted,12.8,7,chocolate,1.92,3
991,992,0.36,2.4,490,38.0,123.0,0.996,8.6,0.46,10.3,7,melted,15.2,7,"chocolate, oats",1.88,3
992,993,0.37,6.2,520,13.0,164.0,0.99602,8.24,0.39,8.8,6,melted,13.2,7,raisins,1.24,3
993,994,0.37,12.85,420,36.0,105.0,0.99581,8.05,0.55,10.7,8,melted,14.0,7,"chocolate, oats",1.38,3
994,995,0.45,13.0,470,33.0,182.0,0.9974,8.2,0.46,9.2,8,melted,12.6,7,"nuts,raisins",1.51,3
995,996,0.0,1.4,570,15.0,26.0,0.99448,8.36,0.45,9.5,5,cubed,12.0,7,"nuts,raisins",1.18,3
996,997,0.49,7.6,520,67.0,226.0,0.9956,8.16,0.47,8.9,7,melted,12.2,7,chocolate,1.46,3
997,998,0.28,3.5,390,55.0,152.0,0.9907,8.44,0.44,12.0,8,melted,11.8,7,"nuts, oats, chocolate",1.45,3
998,999,0.32,12.2,410,43.0,127.0,0.99524,8.23,0.53,10.4,9,melted,11.4,7,chocolate,1.73,3
999,1000,0.09,1.7,530,24.0,32.0,0.99402,8.54,0.6,11.3,5,cubed,12.4,7,"nuts,raisins",1.3,3
1000,1001,0.39,6.75,310,22.0,98.0,0.9913,8.15,0.8,12.9,9,melted,13.2,7,chocolate,1.09,3
1001,1002,0.16,1.8,780,12.0,39.0,0.9977,8.5,0.7,9.9,6,cubed,14.8,7,"nuts, oats, chocolate",1.61,3
1002,1003,0.15,1.9,790,17.0,42.0,0.9972,8.31,0.54,9.6,6,cubed,16.6,7,"nuts, oats, chocolate",1.35,3
1003,1004,0.24,1.8,3600,15.0,63.0,0.9964,8.0,1.59,9.5,5,cubed,15.0,7,"nuts, oats",1.75,3
1004,1005,0.34,1.6,430,24.0,129.0,0.99305,8.12,0.7,10.4,7,melted,15.2,7,chocolate,1.27,3
1005,1006,0.02,1.8,670,4.0,11.0,0.997,8.46,0.68,9.5,5,cubed,12.8,7,"nuts,raisins",1.18,3
1006,1007,0.44,2.6,660,22.0,48.0,0.99494,8.3,0.84,11.5,6,cubed,14.4,7,raisins,1.16,3
1007,1008,0.14,1.9,560,15.0,34.0,0.99396,8.48,0.57,11.5,6,cubed,12.4,7,"nuts,raisins",1.5,3
1008,1009,0.25,10.4,200,7.0,57.0,0.994,8.39,0.37,10.6,7,melted,11.4,7,chocolate,1.25,3
1009,1010,0.33,0.9,410,20.0,117.0,0.99048,8.21,0.5,11.4,7,melted,14.0,7,chocolate,1.63,3
1010,1011,0.48,2.1,930,6.0,12.0,0.99408,8.26,0.62,12.4,7,cubed,16.6,7,chocolate,1.23,3
1011,1012,0.31,2.7,840,24.0,125.0,0.9984,8.31,0.61,9.4,5,cubed,18.0,7,"nuts, chocolate",1.75,3
1012,1013,0.27,8.6,680,24.0,148.0,0.9948,8.16,0.57,11.3,6,cubed,13.4,7,"nuts, chocolate",1.3,3
1013,1014,0.08,2.6,890,14.0,27.0,0.99592,8.3,0.59,10.4,6,cubed,15.0,7,"nuts,raisins",1.66,3
1014,1015,0.33,3.5,370,37.0,155.0,0.98987,8.18,0.37,12.4,8,melted,12.4,7,raisins,1.67,3
1015,1016,0.49,8.1,370,26.0,174.0,0.9943,8.1,0.3,11.2,9,melted,16.2,7,raisins,1.48,3
1016,1017,0.36,17.2,390,37.0,130.0,0.99946,8.23,0.43,8.8,8,melted,12.4,7,chocolate,1.04,3
1017,1018,0.5,2.6,490,17.0,155.0,0.9927,8.22,0.64,10.0,8,melted,11.4,7,raisins,1.24,3
1018,1019,0.34,2.2,730,16.0,25.0,0.9936,8.28,0.66,12.4,6,cubed,16.0,7,"nuts, chocolate",1.37,3
1019,1020,0.45,1.2,330,11.0,59.0,0.9926,7.74,0.47,10.8,8,melted,19.4,7,chocolate,1.18,3
1020,1021,0.09,2.9,790,7.0,22.0,0.99669,8.46,0.61,10.2,5,cubed,13.4,7,"nuts,raisins",1.33,3
1021,1022,0.27,5.0,580,27.0,151.0,0.99198,8.22,0.49,12.2,8,melted,12.8,7,raisins,1.58,3
1022,1023,0.25,2.8,360,43.0,132.0,0.98975,8.21,0.47,13.4,8,melted,14.2,7,"nuts, chocolate",1.08,3
1023,1024,0.34,1.5,380,18.0,96.0,0.98942,8.56,0.48,13.0,10,melted,10.4,7,raisins,1.77,3
1024,1025,0.32,2.2,360,15.0,70.0,0.9899,8.16,0.48,12.7,8,melted,12.4,7,raisins,1.79,3
1025,1026,0.32,11.1,360,25.0,119.0,0.9962,8.15,0.34,10.5,8,melted,15.0,7,raisins,1.07,3
1026,1027,0.39,1.2,380,21.0,115.0,0.994,8.16,0.67,10.0,8,melted,15.2,7,chocolate,1.31,3
1027,1028,0.3,2.0,300,38.0,142.0,0.98892,8.41,0.41,12.9,9,melted,11.8,7,raisins,1.23,3
1028,1029,0.4,7.5,400,50.0,151.0,0.9927,8.11,0.27,11.4,8,melted,13.8,7,chocolate,1.78,3
1029,1030,0.36,4.6,240,20.0,198.0,0.99222,8.06,0.66,11.9,8,melted,15.6,7,raisins,1.54,3
1030,1031,0.38,4.9,390,22.0,86.0,0.98963,8.23,0.58,13.1,9,melted,11.6,7,raisins,1.41,3
1031,1032,0.24,9.8,410,29.0,109.0,0.9956,8.29,0.47,10.1,8,melted,12.8,7,raisins,1.87,3
1032,1033,0.48,1.5,680,7.0,15.0,0.9973,8.22,0.64,10.1,6,cubed,22.2,7,"chocolate, oats",1.52,3
1033,1034,0.46,9.0,1140,3.0,9.0,0.99901,8.18,0.6,10.9,6,cubed,18.2,7,chocolate,1.64,3
1034,1035,0.64,2.2,930,9.0,42.0,0.9986,8.54,0.66,10.5,5,cubed,17.6,7,"nuts, chocolate",1.81,3
1035,1036,0.12,1.6,360,57.0,163.0,0.99239,8.38,0.59,10.5,8,melted,11.6,7,raisins,1.62,3
1036,1037,0.48,3.1,900,5.0,21.0,0.9986,8.17,0.53,10.5,5,cubed,22.2,7,raisins,1.17,3
1037,1038,0.58,5.0,390,36.0,114.0,0.9909,8.3,0.6,12.3,10,melted,12.2,7,raisins,1.42,3
1038,1039,0.26,3.1,530,57.0,128.0,0.98982,8.22,0.39,12.7,8,melted,12.0,7,"nuts, chocolate",1.99,3
1039,1040,0.03,2.3,750,14.0,31.0,0.99545,8.36,0.58,10.4,6,cubed,13.6,7,"nuts, oats, chocolate",1.06,3
1040,1041,0.27,11.2,610,46.0,149.0,0.99772,7.99,0.59,9.3,8,melted,14.4,7,"chocolate, oats",1.56,3
1041,1042,0.32,7.9,290,34.0,124.0,0.9948,8.4,0.39,10.2,7,melted,12.8,7,chocolate,1.08,3
1042,1043,0.09,1.7,530,24.0,32.0,0.99402,8.54,0.6,11.3,5,cubed,12.4,7,"nuts,raisins",1.61,3
1043,1044,0.22,9.8,490,50.0,125.0,0.99571,8.2,0.45,10.1,8,melted,11.4,7,chocolate,1.51,3
1044,1045,0.31,11.7,510,24.0,94.0,0.997,8.19,0.44,9.5,9,melted,15.0,7,"chocolate, oats",1.73,3
1045,1046,0.41,1.2,500,26.0,131.0,0.99133,8.19,0.52,11.1,7,melted,15.0,7,chocolate,1.01,3
1046,1047,0.49,3.95,440,27.0,131.0,0.9912,8.08,0.67,12.8,9,melted,15.2,7,raisins,1.21,3
1047,1048,0.3,10.6,330,24.0,87.0,0.99265,8.15,0.45,12.8,8,melted,13.8,7,"nuts, chocolate",1.2,3
1048,1049,0.49,3.4,930,54.0,80.0,1.0002,8.3,0.76,10.7,7,cubed,23.6,7,raisins,1.24,3
1049,1050,0.42,1.1,420,51.0,132.0,0.99059,8.18,0.74,11.3,9,melted,13.6,7,"chocolate, oats",1.7,3
1050,1051,0.03,1.7,700,10.0,35.0,0.99575,8.34,0.57,10.0,5,cubed,16.0,7,"nuts,raisins",1.35,3
1051,1052,0.31,2.0,790,10.0,79.0,0.99677,8.29,0.69,9.5,6,cubed,15.8,7,"nuts,raisins",1.95,3
1052,1053,0.26,7.2,480,52.0,207.0,0.99587,8.12,0.37,9.2,7,melted,14.6,7,chocolate,1.75,3
1053,1054,0.22,6.2,600,41.0,190.0,0.99858,8.18,0.51,9.2,7,melted,13.6,7,raisins,1.92,3
1054,1055,0.31,7.4,530,32.0,211.0,0.99587,8.31,0.59,10.4,8,melted,14.2,7,chocolate,1.82,3
1055,1056,0.26,8.2,540,47.0,182.0,0.99538,8.12,0.5,9.5,7,melted,12.8,7,chocolate,1.23,3
1056,1057,0.49,2.7,920,25.0,60.0,0.9971,8.31,0.61,10.1,6,cubed,15.2,7,chocolate,1.94,3
1057,1058,0.31,6.4,310,38.0,115.0,0.99235,8.38,0.58,12.2,9,melted,14.0,7,raisins,1.92,3
1058,1059,0.32,9.6,540,64.0,162.0,0.9962,8.4,0.41,9.4,7,melted,14.2,7,"chocolate, oats",1.72,3
1059,1060,0.22,16.65,440,39.0,110.0,0.99855,8.24,0.48,9.0,8,melted,11.4,7,chocolate,1.69,3
1060,1061,0.49,2.7,980,12.0,42.0,1.0004,8.16,0.61,10.3,5,cubed,23.8,7,raisins,1.48,3
1061,1062,0.32,2.2,810,32.0,79.0,0.9964,8.3,0.72,11.0,6,cubed,16.8,7,raisins,1.25,3
1062,1063,0.32,7.9,420,30.0,130.0,0.99456,8.4,0.39,10.5,8,melted,13.8,7,"chocolate, oats",1.45,3
1063,1064,0.13,17.2,360,49.0,219.0,0.9996,7.96,0.46,9.7,7,melted,16.0,7,chocolate,1.67,3
1064,1065,0.51,1.2,290,10.0,102.0,0.9903,8.46,0.42,11.9,8,melted,12.0,7,raisins,1.34,3
1065,1066,0.3,14.2,560,53.0,212.5,0.999,8.14,0.46,8.9,10,melted,15.2,7,chocolate,1.74,3
1066,1067,0.23,3.1,950,13.0,38.0,0.9998,8.28,0.59,9.7,5,cubed,18.2,7,"nuts, oats, chocolate",1.06,3
1067,1068,0.37,2.2,570,14.0,36.0,0.99614,8.23,0.49,9.3,4,cubed,20.4,7,chocolate,1.61,3
1068,1069,0.3,12.8,620,19.0,171.0,0.99808,8.0,0.52,9.0,9,melted,13.6,7,"chocolate, oats",1.48,3
1069,1070,0.27,1.2,410,27.0,99.0,0.9927,8.19,0.33,9.8,8,melted,14.8,7,chocolate,1.97,3
1070,1071,0.29,1.1,350,44.0,140.0,0.99142,8.17,0.55,10.7,9,melted,12.8,7,"chocolate, oats",1.74,3
1071,1072,0.32,14.9,470,54.0,162.0,0.9968,8.28,0.5,10.2,8,melted,12.8,7,chocolate,1.92,3
1072,1073,0.2,2.0,480,48.0,191.0,0.9929,8.17,0.51,9.6,7,melted,12.6,7,raisins,1.62,3
1073,1074,0.2,2.4,750,15.0,50.0,0.99467,8.58,0.67,12.5,6,cubed,12.0,7,"nuts,raisins",1.59,3
1074,1075,0.25,1.4,570,21.0,125.0,0.99091,8.23,0.44,11.1,9,melted,12.8,7,"chocolate, oats",1.45,3
1075,1076,0.04,2.2,660,12.0,20.0,0.99636,8.53,0.56,9.9,5,cubed,13.2,7,"chocolate, peanut butter",1.8,3
1076,1077,0.39,7.8,390,49.0,208.0,0.9976,8.31,0.51,9.5,8,melted,16.4,7,chocolate,1.81,3
1077,1078,0.34,7.4,200,38.0,133.0,0.99212,8.18,0.44,12.0,9,melted,13.6,7,raisins,1.3,3
1078,1079,0.36,11.6,420,45.0,124.0,0.997,7.92,0.59,9.5,9,melted,14.2,7,chocolate,1.96,3
1079,1080,0.34,6.7,290,21.0,162.0,0.99497,8.08,0.5,10.6,8,melted,18.0,7,chocolate,1.7,3
1080,1081,0.57,1.0,620,21.0,122.0,0.99238,8.0,0.4,9.5,7,melted,12.8,7,chocolate,1.8,3
1081,1082,0.31,2.8,320,11.0,61.0,0.99189,8.06,0.44,11.5,8,melted,17.0,7,chocolate,1.64,3
1082,1083,0.53,1.2,470,25.0,109.0,0.9921,8.23,0.28,12.5,8,melted,18.8,7,chocolate,2.0,3
1083,1084,0.28,2.8,680,6.0,16.0,0.99682,8.24,0.53,10.3,5,cubed,14.2,7,"nuts, chocolate",1.14,3
1084,1085,0.26,2.7,420,28.0,83.0,0.99114,8.38,0.51,12.0,10,melted,13.6,7,"nuts, chocolate",1.71,3
1085,1086,0.26,5.7,440,56.0,158.0,0.9951,8.52,0.37,10.5,8,melted,12.4,7,"chocolate, oats",1.59,3
1086,1087,0.24,14.0,480,24.0,113.0,0.9982,8.44,0.53,9.8,8,melted,12.8,7,"nuts, chocolate",1.65,3
1087,1088,0.29,1.8,470,47.0,187.0,0.9933,8.13,0.5,10.2,8,melted,16.4,7,chocolate,1.6,3
1088,1089,0.41,14.1,530,37.0,194.0,0.99886,8.2,0.63,9.4,8,melted,14.8,7,"nuts, chocolate",1.57,3
1089,1090,0.34,12.4,510,6.0,37.0,0.9944,8.13,0.39,11.5,8,melted,14.4,7,raisins,1.73,3
1090,1091,0.19,4.5,380,36.0,119.0,0.99151,8.07,0.42,11.2,8,melted,12.8,7,raisins,1.25,3
1091,1092,0.4,2.2,490,38.0,67.0,0.996,8.33,0.93,11.3,5,cubed,15.8,7,"chocolate, oats",1.6,3
1092,1093,0.1,3.5,440,17.0,63.0,0.9937,8.01,0.39,9.2,7,melted,14.0,7,raisins,1.69,3
1093,1094,0.03,2.3,540,7.0,16.0,0.99508,8.45,0.63,11.5,6,cubed,13.8,7,"nuts, oats",1.19,3
1094,1095,0.49,2.2,320,31.0,113.0,0.9903,8.37,0.42,12.9,11,melted,14.2,7,chocolate,1.64,3
